"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H4","840","United States","591110","591110 --  - Textile fabrics, felt and felt-lined ","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,577.926,
"HS","H4","840","United States","591132","591132 --  -- Weighing 650 g/m² or more","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,187.011,
"HS","H4","840","United States","600110","600110 --  - ‘Long pile’ fabrics","410","Korea, Rep.",2012,2012,"CMT","AHS",13.1,13.1,4.1,9,17.2,2,1,1,6360.626,
"HS","H4","840","United States","600129","600129 --  -- Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,682.737,
"HS","H4","840","United States","600199","600199 --  -- Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,50.234,
"HS","H4","840","United States","600320","600320 -- (2002-) - Of cotton","410","Korea, Rep.",2012,2012,"CMT","AHS",11.05,11.05,3.05,8,14.1,2,0,0,108.59,
"HS","H4","840","United States","600340","600340 -- (2002-) - Of artificial fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,2.047,
"HS","H4","840","United States","600490","600490 -- (2002-) - Other","410","Korea, Rep.",2014,2014,"CMT","AHS",4.3,4.3,4.3,0,8.6,2,0,0,1106.035,
"HS","H4","840","United States","600524","600524 -- (2002-) -- Printed","410","Korea, Rep.",2012,2012,"CMT","AHS",10,10,0,10,10,1,0,0,32.018,
"HS","H4","840","United States","600532","600532 -- (2002-2016) -- Dyed","410","Korea, Rep.",2014,2014,"CMT","AHS",4,4,0,4,4,1,0,0,30931.137,
"HS","H4","840","United States","600541","600541 -- (2002-) -- Unbleached or bleached","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,3.614,
"HS","H4","840","United States","600544","600544 -- (2002-) -- Printed","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,163.394,
"HS","H4","840","United States","600621","600621 -- (2002-) -- Unbleached or bleached","410","Korea, Rep.",2012,2012,"CMT","AHS",10,10,0,10,10,2,0,0,113.06,
"HS","H4","840","United States","600623","600623 -- (2002-) -- Of yarns of different colours","410","Korea, Rep.",2014,2014,"CMT","AHS",3.5,3.5,3.5,0,7,2,0,0,314.182,
"HS","H4","840","United States","600632","600632 -- (2002-) -- Dyed","410","Korea, Rep.",2013,2013,"CMT","AHS",8,8,0,8,8,1,0,0,29021.335,
"HS","H4","840","United States","600641","600641 -- (2002-) -- Unbleached or bleached","410","Korea, Rep.",2012,2012,"CMT","AHS",10,10,0,10,10,1,0,0,31.281,
"HS","H4","840","United States","600643","600643 -- (2002-) -- Of yarns of different colours","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,32.046,
"HS","H4","840","United States","610120","610120 --  - Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,53.286,
"HS","H4","840","United States","610210","610210 --  - Of wool or fine animal hair","410","Korea, Rep.",2012,2012,"CMT","AHS",17.29,17.29,0.01,17.29,17.29,1,1,1,52.051,
"HS","H4","840","United States","610230","610230 --  - Of man-made fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,3,0,0,156.384,
"HS","H4","840","United States","610332","610332 --  -- Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,38.516,
"HS","H4","840","United States","610342","610342 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,40.839,
"HS","H4","840","United States","610431","610431 --  -- Of wool or fine animal hair","410","Korea, Rep.",2012,2012,"CMT","AHS",16.68,16.68,0.01,16.68,16.68,1,1,1,25.001,
"HS","H4","840","United States","610439","610439 --  -- Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",12,12,12,0,24,2,1,1,16.627,
"HS","H4","840","United States","610442","610442 --  -- Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,550.686,
"HS","H4","840","United States","610449","610449 --  -- Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,6.609,
"HS","H4","840","United States","610453","610453 --  -- Of synthetic fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,886.81,
"HS","H4","840","United States","610462","610462 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,2621.252,
"HS","H4","840","United States","610510","610510 --  - Of cotton","410","Korea, Rep.",2012,2012,"CMT","AHS",19.7,19.7,0.01,19.7,19.7,1,1,1,8271.793,
"HS","H4","840","United States","610590","610590 --  - Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,3,0,0,21.481,
"HS","H4","840","United States","610690","610690 --  - Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,4,0,0,3.017,
"HS","H4","840","United States","610719","610719 --  -- Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,0.278,
"HS","H4","840","United States","610791","610791 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,2.853,
"HS","H4","840","United States","610821","610821 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,513.785,
"HS","H4","840","United States","610832","610832 --  -- Of man-made fibres","410","Korea, Rep.",2012,2012,"CMT","AHS",16,16,0,16,16,1,1,1,61.725,
"HS","H4","840","United States","610892","610892 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",9.6,9.6,0,9.6,9.6,1,0,0,53.919,
"HS","H4","840","United States","611011","611011 -- (2002-) -- Of wool","410","Korea, Rep.",2012,2012,"CMT","AHS",16,16,0,16,16,1,1,1,130.84,
"HS","H4","840","United States","611019","611019 -- (2002-) -- Other","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,1,0,0,324.044,
"HS","H4","840","United States","611090","611090 --  - Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,64.618,
"HS","H4","840","United States","611190","611190 --  - Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",11.65,11.65,8.3,0,26,8,2,2,59.847,
"HS","H4","840","United States","611219","611219 --  -- Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",17.77,17.77,10.44,3.5,28.2,3,2,2,0.988,
"HS","H4","840","United States","611300","611300 --  Garments, made up of knitted or crochet","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,14.495,
"HS","H4","840","United States","611490","611490 --  - Of other textile materials","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,3,0,0,4.763,
"HS","H4","840","United States","611522","611522 -- (2007-) -- Of synthetic fibres, measurin","410","Korea, Rep.",2012,2012,"CMT","AHS",14.9,14.9,0,14.9,14.9,1,0,0,639.79,
"HS","H4","840","United States","611530","611530 -- (2007-) - Other women's full-length or k","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,124.814,
"HS","H4","840","United States","611596","611596 -- (2007-) -- Of synthetic fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",4.35,4.35,4.35,0,8.7,2,0,0,25943.76,
"HS","H4","840","United States","611691","611691 --  -- Of wool or fine animal hair","410","Korea, Rep.",2012,2012,"CMT","AHS",7.64,7.64,0,7.64,7.64,1,0,0,124.72,
"HS","H4","840","United States","611693","611693 --  -- Of synthetic fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,6,0,0,2104.977,
"HS","H4","840","United States","611780","611780 --  - Other accessories","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,5,0,0,595.236,
"HS","H4","840","United States","620112","620112 --  -- Of cotton","410","Korea, Rep.",2012,2012,"CMT","AHS",6.9,6.9,2.5,4.4,9.4,2,0,0,28.463,
"HS","H4","840","United States","620119","620119 --  -- Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,3.5,
"HS","H4","840","United States","620193","620193 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,5,0,0,504.22,
"HS","H4","840","United States","620212","620212 --  -- Of cotton","410","Korea, Rep.",2012,2012,"CMT","AHS",6.65,6.65,2.25,4.4,8.9,2,0,0,41.474,
"HS","H4","840","United States","620219","620219 --  -- Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,17.354,
